Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.536346738,1.378155224,-0.33832077,0.462387778,0.239598554,0.098697901,0.36378697,0.090794172,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
3073,1.188738816,-0.110924628,-0.247422661,-0.056450065,-0.230669261,-0.88473466,0.252123219,-0.107019472,-0.128072061,0.071498491,0.968909626,-0.024447058,-1.621852962,0.978852738,0.291895631,0.402306073,-0.446079103,-0.188215191,0.685255905,-0.053186526,-0.339530238,-1.248045616,0.070857708,-0.003754131,0.14876579,0.706721706,-0.132117012,-0.008133729,58.92,0
3073,-0.548584151,0.647927176,-0.590784392,-3.241789042,2.647739177,2.92403087,0.3196441,-0.224864624,0.765083912,-1.019684823,-0.119852518,0.124335603,-0.261577115,0.242990926,1.05207832,-0.249756862,-1.008367505,0.499341459,0.255303705,-0.006303132,0.771417106,-0.009922459,-0.216549408,0.995280771,0.252970566,-0.818251895,0.275448691,-0.01224945,1,0
3075,-1.516971606,-0.798038552,-0.352067944,-2.878183134,3.975981043,1.930715569,-0.389528981,0.566295602,0.872466879,-0.823031387,-0.062008916,0.15979233,-0.175628322,0.192656107,1.222558546,-0.26106038,-1.041510309,0.446164758,0.392424217,-0.040742898,-0.066072922,0.10396723,-0.59226651,1.052167337,0.43161524,-0.774772028,0.268011011,-0.124329325,1,0
3075,-2.194167851,0.077288354,2.313352632,1.903732959,1.332965211,-0.73089605,0.126258622,-0.315548826,-0.171180481,0.653430454,-1.144998109,-0.445259525,-0.745692918,-0.601465692,-1.190719329,0.189321989,-0.454365383,-0.500980727,-0.919129679,-0.853753657,-0.245901382,-0.069741925,-0.939593575,0.461452077,0.454872452,-0.05036471,-0.364221011,-0.175895575,29.9,0
3077,1.304551832,-0.71368681,0.380184554,-2.217172334,-0.976144948,-0.323844097,-0.786829941,0.12743637,2.337942468,-1.4402374,0.558672112,1.158016555,-0.350652125,0.072795296,1.067372245,-0.410306815,-0.534083993,1.228247449,1.61490743,-0.094539007,0.137136122,0.678791011,-0.26609451,-0.454530868,0.746965817,-0.604213452,0.098500021,0.011475103,1,0
3077,-0.30252069,0.447473606,-0.495757488,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.697719596,-1.090180906,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.485110432,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.241305213,-0.020358638,1,0
3079,-0.30252069,0.447473606,-0.495757488,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.697719596,-1.090180906,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.485110432,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.241305213,-0.020358638,1,0
3081,-0.674055888,0.457964762,2.479247462,-1.306093694,-0.229307517,0.08083904,0.277712498,0.091929889,0.455288242,-0.58423019,0.689345869,0.912177363,0.357360408,-0.765724534,-1.105906684,0.539302896,-0.8672462,0.193977958,-0.035873786,0.155741975,-0.111371345,0.081961386,-0.277406274,0.071514522,-0.095281622,0.823250771,0.099701904,-0.084237554,1.61,0
3081,-4.360241516,5.68477761,-3.753719194,0.310468973,0.23989254,-1.86351831,1.209371661,-0.408977323,4.390536431,6.541506576,2.090065857,-0.216966915,0.209969178,-5.839629203,1.690685327,-0.352422229,2.681226185,0.444050197,-1.555829599,3.234499639,-1.005170192,-0.255061538,0.285957975,-0.028310678,0.434954878,-0.515675533,0.886543646,-0.629142637,0.89,0
3082,-1.417325807,1.579580736,0.274729675,-0.989928965,0.007661888,-0.005650692,-0.006877751,0.966856745,-0.497555743,-0.664570172,-0.144598649,1.354747164,1.243617935,0.352171869,-1.102343303,0.697626721,-0.702989183,0.210689193,0.459515143,0.041420838,-0.151708601,-0.429351226,-0.133935139,-0.793781058,0.0474184,0.353933874,0.161081905,0.094487701,4,0
3083,-1.084974133,-0.205797756,0.223920623,-1.893547012,1.6598091,3.714002462,-0.808200056,1.572485223,0.419280169,-1.351437227,-0.962455866,0.273280104,-0.1822397,-0.23666247,-0.833578928,0.583157462,-0.484558502,-0.059501717,0.100718319,0.100785057,-0.125027529,-0.692563359,0.033594104,1.054362502,0.116731386,0.797124566,-0.180686149,-0.118804215,60.16,0
3084,-1.977509547,2.007294254,-0.186600888,-1.005410442,-0.333226212,-0.089158617,-0.396670673,1.40832382,-0.473819216,-0.576510807,-0.270190533,1.526852281,1.304761978,0.598759398,-1.12722352,0.796584025,-0.542286873,0.23188876,0.424109512,0.062925084,-0.137798468,-0.464317986,-0.079837283,-0.798355348,0.119922151,0.360393947,0.138558215,0.093943648,1,0
3084,-0.560475293,1.438635929,1.599471851,3.209330708,0.254926644,-0.107142744,0.844961247,-0.638959221,-0.378737283,1.114400137,-0.14659731,-0.255666957,0.229386483,-1.95232156,-0.122200928,-0.618344268,1.154129555,0.098108314,0.866770733,0.116311599,-0.001845961,0.459306348,-0.057532926,0.655034507,-0.766399198,0.049039109,-0.752613093,-0.211940209,10.6,0
3084,-0.521761623,0.626184012,-0.59923896,-3.271826534,2.656584731,2.747354831,0.584885138,0.567660848,0.88721819,-0.782958243,-0.088837491,0.071575566,-0.23922246,0.145695679,1.083647615,-0.276754674,-1.080736187,0.469258598,0.240659708,0.286653285,-0.021663684,0.228997016,-0.319731021,1.00575856,0.285071887,-0.819992074,0.34615588,0.039701526,1,0
